GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.core.screening,ScreeningServiceImpl,184,0,18,0,41,0,15,0,6,0
ticket-service,com.epam.training.ticketservice.core.screening.model,ScreeningDto.ScreeningDtoBuilder,36,0,0,0,1,0,6,0,6,0
ticket-service,com.epam.training.ticketservice.core.screening.model,ScreeningDto,147,0,28,0,5,0,22,0,8,0
ticket-service,com.epam.training.ticketservice.core.user,UserServiceImpl,0,61,0,2,0,14,0,6,0,5
ticket-service,com.epam.training.ticketservice.core.user.model,UserDto,89,15,20,0,0,3,13,3,3,3
ticket-service,com.epam.training.ticketservice.ui.command,MovieCommand,23,78,4,2,6,22,4,6,2,5
ticket-service,com.epam.training.ticketservice.ui.command,ExitCommand,6,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.ui.command,UserCommand,47,0,6,0,13,0,7,0,4,0
ticket-service,com.epam.training.ticketservice.ui.command,RoomCommand,113,0,6,0,29,0,10,0,7,0
ticket-service,com.epam.training.ticketservice.ui.command,ScreeningCommand,117,0,6,0,27,0,11,0,8,0
ticket-service,com.epam.training.ticketservice.core.screening.persistence.entity,Screening,198,0,32,0,11,0,30,0,14,0
ticket-service,com.epam.training.ticketservice.core.user.persistence.entity,User,119,88,27,11,1,10,26,7,7,7
ticket-service,com.epam.training.ticketservice.core.user.persistence.entity,User.Role,0,15,0,0,0,3,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.room.model,RoomDto.RoomDtoBuilder,8,28,0,0,0,1,1,5,1,5
ticket-service,com.epam.training.ticketservice.core.room.model,RoomDto,55,58,10,6,0,5,10,6,2,6
ticket-service,com.epam.training.ticketservice.core.room.persistence.entity,Room,124,84,22,10,2,10,23,7,7,7
ticket-service,com.epam.training.ticketservice.core.movie,MovieServiceImpl,48,52,4,0,8,16,4,5,2,5
ticket-service,com.epam.training.ticketservice,Application,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.core.movie.model,MovieDto.MovieDtoBuilder,8,28,0,0,0,1,1,5,1,5
ticket-service,com.epam.training.ticketservice.core.movie.model,MovieDto,65,65,15,7,0,5,13,6,2,6
ticket-service,com.epam.training.ticketservice.core.room,RoomServiceImpl,49,54,4,0,8,16,4,5,2,5
ticket-service,com.epam.training.ticketservice.core.configuration,InMemoryDatabaseInitializer,19,0,0,0,4,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.ui.configuration,PromptConfiguration,11,0,0,0,2,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.core.movie.persistence.entity,Movie,124,84,22,10,2,10,23,7,7,7
